City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
568,Scalea,IT,73.35,clear sky,39.813,15.7956,Grand Hotel de Rose
570,Holetown,BB,77.56,overcast clouds,13.1867,-59.6381,The Palms Resort
573,Moindou,NC,75.15,clear sky,-21.6924,165.677,Gite de la RYAWA
574,Bandarban,BD,77.09,overcast clouds,22.1965,92.2262,Hotel Plaza
575,Nanakuli,US,87.75,broken clouds,21.3906,-158.1547,Camp Pālehua
576,Salamiyah,SY,73.08,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
577,Casablanca,MA,79.02,few clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
578,Bongor,TD,72.63,overcast clouds,10.2806,15.3722,Oryx Palace
580,Ishigaki,JP,86.13,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
583,West Bay,KY,82.47,few clouds,19.3667,-81.4167,Calypso Cove
585,Bougouni,ML,70.0,light rain,11.417,-7.479,Non Stop
587,Puerto Colombia,CO,82.49,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
588,Arona,ES,78.69,scattered clouds,28.0996,-16.681,Paradise Court
590,Palasa,IN,82.78,few clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
592,Santa Rosa,PH,78.78,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
596,Tukrah,LY,78.78,clear sky,32.5341,20.5791,Lokta restaurant
597,Borogontsy,RU,75.38,light rain,62.6683,131.1683,
598,Lockhart,US,79.72,few clouds,28.6194,-81.4426,Courtyard by Marriott Orlando Altamonte Springs/Maitland
599,Honiara,SB,85.12,broken clouds,-9.4333,159.95,Heritage Park Hotel
600,Kirakira,SB,82.35,overcast clouds,-10.4544,161.9205,SanBiz Lodge
601,Bonanza,NI,73.4,scattered clouds,14.0289,-84.591,Edificio Administrativo HEMCO
604,Jinchang,CN,74.26,overcast clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
605,Patti,IN,82.47,clear sky,31.2808,74.8572,SOKHI NIWAS
606,Maragogi,BR,72.77,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
607,Pochutla,MX,85.05,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
609,Lincoln,US,82.78,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
610,Faridpur,BD,82.4,overcast clouds,23.6,89.8333,Progoti hostel
612,Dawson Creek,CA,76.64,clear sky,55.7666,-120.2362,Peace Villa Motel
614,Yining,CN,73.17,overcast clouds,29.0361,114.5636,Xiushui Hotel
615,Nioro,GM,75.96,overcast clouds,13.35,-15.75,
617,Elk Plain,US,89.92,clear sky,47.0532,-122.3976,Loveland Mobile Estates
618,Dulce Grande,MX,75.54,overcast clouds,23.0,-102.1667,
619,Praia,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
620,Bellview,US,85.75,overcast clouds,30.4616,-87.315,Hospitality Inn Management Co
623,Punta Cardon,VE,82.71,overcast clouds,11.6581,-70.215,Bambuda hotel
